accuracy,loss,val_accuracy,val_loss,epoch
0.9592050313949585,0.21917204558849335,1.0,0.006737501826137304,1
0.9989539980888367,0.009843689389526844,1.0,0.0012090681120753288,2
1.0,0.002356303855776787,1.0,0.0008098191465251148,3
1.0,0.0013493417063727975,1.0,0.0011841299710795283,4
1.0,0.0010383022017776966,1.0,7.036001625237986e-05,5
1.0,0.0004886937676928937,1.0,4.0622686356073245e-05,6
1.0,0.00034062613849528134,1.0,2.662538827280514e-05,7
1.0,0.0002358610217925161,1.0,1.9266839444753714e-05,8
1.0,0.00017875795310828835,1.0,1.5248615454765968e-05,9
1.0,0.00018803070997819304,1.0,1.1532507414813153e-05,10
1.0,0.0001927331613842398,1.0,9.030221008288208e-06,11
1.0,0.00014754731091670692,1.0,7.43964983485057e-06,12
1.0,9.355484507977962e-05,1.0,6.211707841430325e-06,13
1.0,0.00010285829921485856,1.0,5.0505964281910565e-06,14
1.0,0.0001752506213961169,1.0,4.123884082218865e-06,15
1.0,6.196062167873606e-05,1.0,3.5203740935685346e-06,16
1.0,6.343494897009805e-05,1.0,2.9821985663147643e-06,17
1.0,7.321711746044457e-05,1.0,2.54976112046279e-06,18
1.0,6.81211895425804e-05,1.0,2.1527357603190467e-06,19
1.0,5.789013812318444e-05,1.0,1.8714254110818729e-06,20
1.0,6.032400779076852e-05,1.0,1.6659284938214114e-06,21
1.0,3.7203826650511473e-05,1.0,1.4265156096371356e-06,22
1.0,6.602456414839253e-05,1.0,1.226504991791444e-06,23
1.0,2.921031955338549e-05,1.0,1.0763722002593568e-06,24
1.0,2.8856025892309844e-05,1.0,9.716280828797608e-07,25
1.0,8.959327533375472e-05,1.0,7.691223800065927e-07,26
1.0,2.5496232410660014e-05,1.0,6.888186021569709e-07,27
1.0,1.916509609145578e-05,1.0,6.329551069939043e-07,28
1.0,4.7790148528292775e-05,1.0,4.937952553518699e-07,29
1.0,1.4864907825540286e-05,1.0,4.633695596112375e-07,30
1.0,1.6166690329555422e-05,1.0,4.384304475024692e-07,31
1.0,1.4314265172288287e-05,1.0,4.0750589391791436e-07,32
1.0,2.8877306249341927e-05,1.0,3.7757885706923844e-07,33
1.0,1.1266615729255136e-05,1.0,3.566299255908234e-07,34
1.0,1.5395857190014794e-05,1.0,3.366786529568344e-07,35
1.0,1.8458658814779483e-05,1.0,3.00267544162125e-07,36
1.0,1.5025164429971483e-05,1.0,2.8181256084280903e-07,37
1.0,2.8980713977944106e-05,1.0,2.4689774136277265e-07,38
1.0,1.7252621546504088e-05,1.0,2.239537479908904e-07,39
1.0,1.170911309600342e-05,1.0,2.0400241851348255e-07,40
1.0,1.402116959070554e-05,1.0,1.8305351545677695e-07,41
1.0,1.6230302207986824e-05,1.0,1.5711677292529203e-07,42
1.0,8.791651453066152e-06,1.0,1.40158135764068e-07,43
1.0,9.720171874505468e-06,1.0,1.2918489744606632e-07,44
1.0,8.448934750049375e-06,1.0,1.1671532718082744e-07,45
1.0,1.0306230251444504e-05,1.0,1.0723844212634503e-07,46
1.0,1.342343875876395e-05,1.0,9.127737854441875e-08,47
1.0,8.026609975786414e-06,1.0,8.479318580612016e-08,48
1.0,1.5029711903480347e-05,1.0,7.53162936462104e-08,49
1.0,8.839459042064846e-06,1.0,6.933088769756068e-08,50
