accuracy,loss,val_accuracy,val_loss,epoch
0.963203489780426,0.25670915842056274,0.9956709742546082,0.014654567465186119,1
0.9989177584648132,0.01017390564084053,1.0,0.005312882363796234,2
0.9989177584648132,0.004240637645125389,1.0,0.0019650026224553585,3
1.0,0.0016197934746742249,1.0,0.0013182940892875195,4
1.0,0.0013242407003417611,1.0,0.0007360296440310776,5
1.0,0.0008852938190102577,1.0,0.0004650487389881164,6
1.0,0.0004846772353630513,1.0,0.0003921758325304836,7
1.0,0.000487662066007033,1.0,0.0001812783448258415,8
1.0,0.0004587662988342345,1.0,0.0001071356309694238,9
1.0,0.0002707689709495753,1.0,8.73491881066002e-05,10
1.0,0.0002040906110778451,1.0,7.086456753313541e-05,11
1.0,0.00016417303413618356,1.0,6.347163434838876e-05,12
1.0,0.00016211044567171484,1.0,5.4087297030491754e-05,13
1.0,0.00016875762958079576,1.0,4.213878128211945e-05,14
1.0,0.00017664924962446094,1.0,2.563441921665799e-05,15
1.0,0.00015050928050186485,1.0,2.1167135855648667e-05,16
1.0,7.384314812952653e-05,1.0,1.950641853909474e-05,17
1.0,7.767203351249918e-05,1.0,1.7007600035867654e-05,18
1.0,8.174716640496626e-05,1.0,1.4741929589945357e-05,19
1.0,6.795458466513082e-05,1.0,1.2918173524667509e-05,20
1.0,5.5806907766964287e-05,1.0,1.1343302503519226e-05,21
1.0,5.6687767937546596e-05,1.0,1.0023200047726277e-05,22
1.0,5.727302050217986e-05,1.0,9.121768016484566e-06,23
1.0,3.484297849354334e-05,1.0,8.6204918261501e-06,24
1.0,4.828318196814507e-05,1.0,7.721730980847497e-06,25
1.0,0.00044349426752887666,1.0,6.93948413754697e-06,26
1.0,4.478819028008729e-05,1.0,6.4633604779373854e-06,27
1.0,3.783788633882068e-05,1.0,5.65252548767603e-06,28
1.0,2.1398343960754573e-05,1.0,5.243975920166122e-06,29
1.0,2.659719029907137e-05,1.0,4.595056907419348e-06,30
1.0,1.932231134560425e-05,1.0,4.053410066262586e-06,31
1.0,0.00014228028885554522,1.0,3.401316007511923e-06,32
1.0,2.35466068261303e-05,1.0,3.272341473348206e-06,33
1.0,2.3560151021229103e-05,1.0,3.0546232210326707e-06,34
1.0,1.2373850950098131e-05,1.0,2.8838544494647067e-06,35
1.0,1.313894972554408e-05,1.0,2.651684553711675e-06,36
1.0,1.1114433618786279e-05,1.0,2.558813321229536e-06,37
1.0,8.761934623180423e-06,1.0,2.3973220777406823e-06,38
1.0,1.2026664990116842e-05,1.0,2.1960981939628255e-06,39
1.0,2.0786193999811076e-05,1.0,2.1279895463521825e-06,40
1.0,1.3057568139629439e-05,1.0,1.8596914515001117e-06,41
1.0,6.586587551282719e-05,1.0,1.2379341569612734e-06,42
1.0,1.5186030395852868e-05,1.0,1.099130827242334e-06,43
1.0,5.429572865978116e-06,1.0,1.0341157121729339e-06,44
1.0,1.1236092177568935e-05,1.0,8.705467280378798e-07,45
1.0,4.689030902227387e-06,1.0,8.364901873392228e-07,46
1.0,1.4039648704056162e-05,1.0,8.292655593322706e-07,47
1.0,4.505975539359497e-06,1.0,8.168815384124173e-07,48
1.0,5.3832541198062245e-06,1.0,7.812765829839918e-07,49
1.0,9.133103958447464e-06,1.0,7.58570934067393e-07,50
